FOOD ON CAMPUS
Longitude,Latitude,Lable,Website
44.04227854,-123.0671283,Fresh Market Café,https://housing.uoregon.edu/fresh-marketcafe
45.04716723,-123.069007222112,Unthank Dining,https://housing.uoregon.edu/pnw
44.05591746,-123.0717087,Dux Bistro,https://housing.uoregon.edu/dux-bistro
44.04664953,-123.074766254489,Panda Express,https://www.pandaexpress.com
44.04512876,-123.0739407,Subway,https://www.subway.com/en-US
44.04500701,-123.074217415997,Chipotle,https://chipotle.com
44.04882595,-123.0842863,Barnhart Dining,https://housing.uoregon.edu/barnhart-dining
44.04522144,-123.0713568,Carson Dining,https://housing.uoregon.edu/carson-dining
44.04305711,-123.0739495,Shake Smart,https://shakesmart.com
44.04593816,-123.0775962,Lillis Café,https://business.uoregon.edu/lillis-complex
